model,fold,n,log_loss,brier
log_reg,overall,760,1.0806911502649397,0.6395697931814464
rf,0,10,0.958035065654759,0.5685143668299553
rf,1,10,0.8505926202306128,0.4904006580346092
rf,2,10,1.144027247797047,0.6857725599582245
rf,3,10,0.982423194748112,0.5748135098371556
rf,4,10,1.0580095599065162,0.6244978477975012
rf,5,10,0.9758885969664546,0.5862267467968499
rf,6,10,0.9428017399665609,0.5768637289822489
rf,7,10,0.9984756151937644,0.5928228417490867
rf,8,10,0.9842219255922198,0.6056686786344421
rf,9,10,1.150474061277316,0.7018346831687852
rf,10,10,1.1396017993487122,0.6622135201830067
rf,11,10,1.1914634529083474,0.7268428049581952
rf,12,10,1.0079817581469788,0.617464590961611
rf,13,10,0.8631216976530001,0.4942865393069954
rf,14,10,0.9984946822313896,0.5963373923492012
rf,15,10,1.2262492642052654,0.7593348449274249
rf,16,10,1.2906922381981938,0.8153164151753348
rf,17,10,0.9943107426710975,0.5883882359684772
rf,18,10,1.079354592025555,0.6589974998507026
rf,19,10,1.1092561288485263,0.677958244671348
rf,20,10,0.9512281289741308,0.5540502522975984
rf,21,10,0.921838343219392,0.5452073854699475
rf,22,10,1.1027553829701078,0.6229916661968142
rf,23,10,1.2104099757121047,0.7537384143343938
rf,24,10,0.7732947425661347,0.45159331929264546
rf,25,10,1.3276544336038199,0.7827844095698449
rf,26,10,0.8928021139330842,0.5062341433222624
rf,27,10,0.8957595586060672,0.5210626647112973
rf,28,10,0.9108043162511288,0.5335294949388796
rf,29,10,1.0373769266301864,0.6105630364409926
rf,30,10,0.892736192377862,0.5055621683580735
rf,31,10,0.9906735259695079,0.5990254231744545
rf,32,10,0.960967142909287,0.5698727711328095
rf,33,10,0.8127934570837363,0.4710316345135658
rf,34,10,1.1574089164024879,0.692729752836743
rf,35,10,1.2157374923313438,0.7586279986798361
rf,36,10,0.8353085390932391,0.4924319238446221
rf,37,10,0.9636583418922122,0.5824653900591981
rf,38,10,1.0376623210127343,0.6113132790038128
